probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
CG-014,1,0.2,True,True,True,COMPLETED,0,83,7,90,command-r-plus-08-2024,CG
CG-015,1,0.2,True,True,True,COMPLETED,0,83,3,86,command-r-plus-08-2024,CG
CG-016,1,0.2,True,True,True,COMPLETED,0,90,3,93,command-r-plus-08-2024,CG
CG-017,1,0.2,True,True,True,COMPLETED,0,74,6,80,command-r-plus-08-2024,CG
CG-018,1,0.2,True,True,True,COMPLETED,0,80,6,86,command-r-plus-08-2024,CG
CG-019,1,0.2,True,True,True,COMPLETED,0,77,6,83,command-r-plus-08-2024,CG
CG-020,1,0.2,True,True,True,COMPLETED,0,83,9,92,command-r-plus-08-2024,CG
CG-021,1,0.2,True,True,True,COMPLETED,0,80,7,87,command-r-plus-08-2024,CG
CG-022,1,0.2,True,True,True,COMPLETED,0,77,7,84,command-r-plus-08-2024,CG
CG-023,1,0.2,True,True,True,COMPLETED,0,71,6,77,command-r-plus-08-2024,CG
CG-024,1,0.2,True,True,True,COMPLETED,0,83,7,90,command-r-plus-08-2024,CG
CG-025,1,0.2,True,True,True,COMPLETED,0,83,3,86,command-r-plus-08-2024,CG
CG-026,1,0.2,True,True,True,COMPLETED,0,90,3,93,command-r-plus-08-2024,CG
CG-027,1,0.2,True,True,True,COMPLETED,0,74,6,80,command-r-plus-08-2024,CG
CG-028,1,0.2,True,True,True,COMPLETED,0,80,6,86,command-r-plus-08-2024,CG
CG-029,1,0.2,True,True,True,COMPLETED,0,77,6,83,command-r-plus-08-2024,CG
CG-030,1,0.2,True,True,True,COMPLETED,0,83,9,92,command-r-plus-08-2024,CG
CG-031,1,0.2,True,True,True,COMPLETED,0,80,7,87,command-r-plus-08-2024,CG
CG-032,1,0.2,True,True,True,COMPLETED,0,77,6,83,command-r-plus-08-2024,CG
CG-033,1,0.2,True,True,True,COMPLETED,0,71,6,77,command-r-plus-08-2024,CG
CG-034,1,0.2,True,True,True,COMPLETED,0,83,7,90,command-r-plus-08-2024,CG
CG-035,1,0.2,True,True,True,COMPLETED,0,83,3,86,command-r-plus-08-2024,CG
CG-036,1,0.2,True,True,True,COMPLETED,0,90,3,93,command-r-plus-08-2024,CG
CG-037,1,0.2,True,True,True,COMPLETED,0,74,6,80,command-r-plus-08-2024,CG
CG-038,1,0.2,True,True,True,COMPLETED,0,80,6,86,command-r-plus-08-2024,CG
CG-039,1,0.2,True,True,True,COMPLETED,0,77,6,83,command-r-plus-08-2024,CG
CG-040,1,0.2,True,True,True,COMPLETED,0,83,9,92,command-r-plus-08-2024,CG
CG-041,1,0.2,True,True,True,COMPLETED,0,80,8,88,command-r-plus-08-2024,CG
CG-042,1,0.2,True,True,True,COMPLETED,0,77,7,84,command-r-plus-08-2024,CG
CG-043,1,0.2,True,True,True,COMPLETED,0,71,6,77,command-r-plus-08-2024,CG
CG-044,1,0.2,True,True,True,COMPLETED,0,83,7,90,command-r-plus-08-2024,CG
CG-045,1,0.2,True,True,True,COMPLETED,0,83,3,86,command-r-plus-08-2024,CG
CG-046,1,0.2,True,True,True,COMPLETED,0,90,3,93,command-r-plus-08-2024,CG
CG-047,1,0.2,True,True,True,COMPLETED,0,74,6,80,command-r-plus-08-2024,CG
CG-048,1,0.2,True,True,True,COMPLETED,0,80,6,86,command-r-plus-08-2024,CG
CG-049,1,0.2,True,True,True,COMPLETED,0,77,6,83,command-r-plus-08-2024,CG
CG-050,1,0.2,True,True,True,COMPLETED,0,83,9,92,command-r-plus-08-2024,CG
